Site,EAP Acc#,Provenience (field number),ID Catalog# (cat#=element or portion),Specimen Catalog# (cat#=organism),Cantryll Test# (test#=analyst sample number),Period,Date,ID,Element,Side,Description completeness,Age (modern only),Fusion,Cantryll notes,Scapula HS,Scapula DHA,Scapula Ld,Scapula SLC,Scapula ASG,Scapula GLP,Scapula LG,Scapula BG,Humerus GLC,Humerus GL,Humerus Bp,Humerus Dp,Humerus SD,Humerus Bd,Humerus Dd,Humerus BT,Humerus HT,Humerus HTC,Radius GL,Radius Bp,Radius Dp,Radius BFp,Radius SD,Radius Bd,Radius Dd,Ulna GL,Ulna LO,Ulna DPA,Ulna SDO,Metacarpal GL,Metacarpal Bp,Metacarpal Dp,Metacarpal SDt,Metacarpal SDs,Metacarpal Bd,Metacarpal Dd,Metacarpal BFd,Pelvis LAR,Pelvis LAR,Femur GL,Femur GLC,Femur Dp,Femur Bp,Femur SD,Femur Bd,Femur Dd,Tibia GL,Tibia Bp,Tibia Dp,Tibia SD,Tibia Bd,Tibia Dd,Astragalus GLl,Astragalus GLm,Astragalus LLMc,Astraglus Bd,Astragalus Dl,Astragalus Dm,Astragalus Bp,Calcaneum GL,Calcaneum GB,Calcaneum GD,Calcaneum LB,Calcaneum LD,Metatarsal GL,Metatarsal Bp,Metatarsal Dp,Metatarsal SDt,Metatarsal SDs,Metatarsal Bd,Metatarsal Dd,Metatarsal BFd,Phalanx 1 GL,Phalanx 1 Bp,Phalanx 1 Dp,Phalanx 1 SDt,Phalanx 1 SDs,Phalanx 1 Bd,Phalanx 1 Dd,Phalanx 2 GL,Phalanx 2 Bp,Phalanx 2 Dp,Phalanx 2 SDt,Phalanx 2 SDs,Phalanx 2 Bd,Phalanx 2 Dd,,,,,,,,
Aguateca,EAP0638,AG31B-14-2-1,359,n/a,902AG,Late Classic,A.D. 730-810,Odocoileus virginianus,astragalus,left,whole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.66,35.54,31.26,23.61,18.06,20.31,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 40-47-2,935,n/a,906C,Late Classic,,Odocoileus virginianus,metatarsal,L,proximal,,fused,906C metatarsal Odocoileus 50% shaft split longitudelly in three places; original data sheet records four fragments only three are in the bag. The missing frag represents 25% of the shaft. Measurements are from refit.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.45,26.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1206,n/a,929C,Late Classic,,Odocoileus virginianus,humerus,L,distal,,fused distal epiphysis,929C humerus Odocoileus distal 80% proximal end absent. A series of cut-marks mid-shaft.,,,,,,,,,,NA,NA,NA,18.71,38.82,34.37,35.45,25.99,21.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-6-3,1257,n/a,924C,Late Classic,,Odocoileus virginianus,tibia,L,distal,,fused distal epiphysis,924C tibia Odocoileus distal 40% SD is a little higher up the shaft than usual but it’s a bigger usual animal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24,33.2,27.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-6-3,1259,n/a,927C,Late Classic,,Odocoileus virginianus,tibia,R,distal,,fused distal epiphysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.58,34.14,25.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1189,n/a,921C,Late Classic,,Odocoileus virginianus,radius,L,distal,,fused epiphysis,921C radius Odocoileus distal 50% almost certainly the distal end of sample 920C the pattern of ridged woven bone continues.  ,,,,,,,,,,,,,,,,,,,,,,,,32.18,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1190,n/a,922C,Late Classic,,Odocoileus virginianus,ulna,L,proximal,,fused epiphysis,922C ulna Odocoileus olecranon superior crest unfused and absent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1188,n/a,920C,Late Classic,,Odocoileus virginianus,radius,R,proximal,,fused epiphysis,920C radius Odocoileus proximal 40% pathology a ridge of rough woven bone parallel to the ulnar groove.,,,,,,,,,,,,,,,,,,,,35.29,21.71,32.85,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1192,n/a,915C,Late Classic,,Odocoileus virginianus,metacarpal,,distal,,fused epiphysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,26.76,16.29,26.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1193,n/a,911C,Late Classic,,Odocoileus virginianus,metacarpal,,distal,,fused epiphysis,911C metacarpal Odocoileus distal 25%  epiphysis closed but still visible. Bone is browned inside and out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71,26.15,16.43,26.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1186,n/a,914C,Late Classic,,Odocoileus virginianus,tibia,R,distal,,fused epiphysis  ,914C tibia Ododcoileus distal 60% multiple shallow cut-marks on anterior side of shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,34.26,23.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1180,n/a,919C,Late Classic,,Odocoileus virginianus,femur,L,proximal,,fused epiphysis (but line of fusion still visible),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,54.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1185,n/a,913C,Late Classic,,Odocoileus virginianus,tibia,L,proximal,,fused epiphysis (but line of fusion still visible),913C tibia Odocoileus proximal 15% epiphysis fused but visible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.38,46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1182,n/a,912C,Late Classic,,Odocoileus virginianus,femur,R,proximal,,fused epiphysis (but line of fusion still visible),912C femur Odocoileus proximal 10% femoral head only Dp available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1183,n/a,916C,Late Classic,,Odocoileus virginianus,femur,R,distal,,fused epiphysis (but line of fusion still visible),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.03,57.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-6-3,1255,n/a,925C,Late Classic,,Odocoileus virginianus,femur,R,almost whole,,fused proximal and distal epiphyses,925C femur Odocoileus (Huge) proximal and distal ends refit for GL and SD failed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01,59.42,,51.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-6-3,1256,n/a,926C,Late Classic,,Odocoileus virginianus,tibia,L,proximal   ,,fused proximal epiphysis,926C tibia Odocoileus proximal 40%  beautiful tortishell patina on these samples.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39,56.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-6-3,1258,n/a,923C,Late Classic,,Odocoileus virginianus,tibia,R,proximal,,fused proximal epiphysis,923C tibia Odocoleus proximal 10% significant erosion on the lateral edge of articular surface Bp suspect.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.09,62.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 38-5-7,566,n/a,900C,Late Classic,,Mazama sp.,femur,L,almost whole,,fusion/size,"900C femur Mazama sp 90% trochanter absent, lateral condyle broken attempted refit failed. First relatively intact long bone for Mazama.  Smallest diameter is one third down from femoral head.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.66,16.72,,13.31,,39.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 38-5-9,571,n/a,905C,Late Classic,,Odocoileus virginianus,metacarpal,L,proximal,,fusion/size,905C metacarpal Odocoileus 75% significant trowel trauma.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,17.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 25C-57-3,532,n/a,937C ,Late Classic,,Odocoileus virginianus,femur,R,distal,,fusion/size,"937C femur Odocoileus distal 30% Dd only. Very eroded, shaft cut through at 90 degrees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 25A-72-2,785,n/a,902C,Late Classic,,Odocoileus virginianus,radius,R,proximal,,fusion/size,902C radius Odocoileus proximal 60% minor erosion around articular facet.,,,,,,,,,,,,,,,,,,,,31.65,19.66,29.59,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 25A-95-2,715,n/a,903C,Late Classic,,Odocoileus virginianus,radius,R,proximal,,fusion/size,903C radius Odocoileus proximal 80% very large individual; possibly for Sr analysis,,,,,,,,,,,,,,,,,,,,32.81,19.88,31.25,11.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1213,n/a,928C,Late Classic,,Odocoileus virginianus,scapula,L,almost whole,,fusion/size (line of fusion at glenoid fossa still slightly visible),"928C scapula Odocoileus distal 40% spread sheet lists this specimen as almost complete. Sample observed in the bag scapular neck and glenoid complete, large section of scapular spine, another section of the anterior margin no refit possible.",,,,24.18,,41.49,28.84,27.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1235,n/a,933C,Late Classic,,Odocoileus virginianus,metatarsal,L,whole,,proximal and distal epiphyses fused,933C metatarsal Odocoileus almost complete lateral condyle broken off bagged and cataloged separately as 1212 perfect refit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,27.64,26.74,17.01,29.09,18.98,28.5,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1234,n/a,932C,Late Classic,,Odocoileus virginianus,metacarpal,L,proximal,,proximal epiphysis fused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.33,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1207,n/a,931C,Late Classic,,Odocoileus virginianus,astragalus,L,whole,,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,37.55,34.39,22.75,19.63,21.64,22.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1208,n/a,930C,Late Classic,,Odocoileus virginianus,calcaneum,L,whole,,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.98,23.21,29.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-7-3,1308,n/a,908C,Late Classic,,Odocoileus virginianus,calcaneum,R,whole,,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.75,22.38,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 25A-27-2,405,n/a,904C,Late Classic,,Odocoileus virginianus,femur,R,distal,,size/fusion,904C femur Odocoileus distal 30% modified. Very prominent muscles attachments. shaft cut and snapped horizontally through middle of shaft; incised groove incised around circumference of shaft just below break; cut mark on lateral side of lateral condyle very large individual.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.26,58.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 25A-14-2,402,n/a,907c,Late Classic,,Odocoileus virginianus,humerus,R,distal,,size/fusion,,,,,,,,,,,NA,NA,NA,NA,34.6,31.63,32.73,23.73,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-7-3,1309,n/a,909C,Late Classic,,Odocoileus virginianus,metatarsal,R,proximal 0.75,,size/fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.59,27.85,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-7-3,1310,n/a,910C,Late Classic,,Odocoileus virginianus,metatarsal,R,almost whole,,size/fusion,910C metatarsal Odocoileus proximal and distal ends of the same bone missing a cross section of mid shaft. Lateral distal condyle is broken off BFd is a refit. smaller individual than #1309 (MNI = 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.76,23.15,14.72,24.2,16.41,24.24,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 25A-34-2,412,n/a,901C,Late Classic,,Odocoileus virginianus,tibia,R,distal,,size/fusion,901C tibia Odocoileus distal 30% Bd and Dd only. Cat.# 412-415 all from same individual (412-419 probably all from same indiv.); large individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,25.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1181,n/a,917C,Late Classic,,Odocoileus virginianus,femur,L,distal,,fused but visible,"916C femur Odocoileus distal 25%.  Epiphysis visible but fused, cut-marks on anterior shaft.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.89,60.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1211,n/a,935C,Late Classic,,Odocoileus virginianus,intermediate phalanx,L,whole,,,935C phalanx2 Odocoileus complete left side. Sample bag 1211 contained two phalanx2 a left and a right that might be one individual. The right side specimen is listed below as 936C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.48,13.77,18.25,10.28,,10.22,15.03,,,,,,,,
Cancuen,EAP0669,CAN 42-13-3,1184,n/a,918C,Late Classic,,Odocoileus virginianus,tibia,L,proximal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.59,48.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1211,n/a,936C,Late Classic,,Odocoileus virginianus,intermediate phalanx,R,whole,,,936C phalanx2 Odocoileus complete Right side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.33,13.93,19.04,10.29,,10.2,14.79,,,,,,,,
Cancuen,EAP0669,CAN 42-15-3,1210,n/a,934C,Late Classic,,Odocoileus virginianus,proximal phalanx,,whole,,,large size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,15.23,18.77,11.11,,11.94,11.62,,,,,,,,,,,,,,,
Copan,EAP0634,I-7-291,,n/a,205C,Late Classic,2=600-700AD,Odocoileus virginianus,2nd phalanx,L,complete,,fused,"205 phalanx2 Cervid complete. Identified as artidactyl on the label, Odocoileus v. is most likely.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,9.66,13.44,,7.13,6.36,11.22,,,,,,,,
Copan,EAP0634,I-28-45,,n/a,203C,?,,Odocoileus virginianus,astragalus,L,complete,,fused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.88,31.55,27.74,21.64,19.49,18.72,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copan,EAP0634,I-28-28,,n/a,202C,Early Classic,5?=100-400AD,Odocoileus virginianus,calcaneum,L,almost complete,,fused,"202C calcaneus Odocoileus v. almost complete, medial wing of the articulation has been broken or cut away, small individual quite dense. Single peak Photo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.67,,26.83,10.34,16.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copan,EAP0634,I-6-277,,n/a,206C,Early Classic,4/5=100-500AD,Odocoileus virginianus,calcaneum,L,almost complete,,fused,206C calcaneus Odocoileus v. almost complete breakage/erosion of ventral surface makes GDi unusable. Single peak photo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.03,21.16,,11.4,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copan,EAP0634,I-28-3,,n/a,204C,?,,Odocoileus virginianus,humerus,L,distal .1,,fused,204C humerus Odocoileus v. distal 10% dark iron staining.,,,,,,,,,,,,,,33.56,NA,30.78,22.32,17.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copan,EAP0634,I-24-43,,n/a,200C,Early-Late Classic,3/2=500-700AD,Odocoileus virginianus,radius,L,proximal 2,,fused,"200C radius Odocoileus v. proximal 20% posterior lip eroded Dp suspect, specimen has a polished aspect and is very white; possibly cooked.",,,,,,,,,,,,,,,,,,,,29.23,16.98,27.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copan,EAP0634,49-5-52,,n/a,207C,Late Classic,1=700-800AD,Odocoileus virginianus,radius,L,proximal .1,,fused,207C radius Odocoileus v. proximal 10% articulation only.,,,,,,,,,,,,,,,,,,,,30.39,18.22,28.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copan,EAP0634,I-28-7,,n/a,201C,Early Classic,5?=100-400AD,Odocoileus virginianus,scapula,L,distal .3,,unfused,"201C scapula Odocoileus distal 30% scapula neck and glenoid surface, glenoid process is unfused, most inferior tip of scapular spine is unfused, very young and small animal possibly Mazama sp. Rather than Odocoileus v.",,,,17.34,,,20.09,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cueva de los Quetzales,EAP0635,CQ1-11-10,2,n/a,319CQ,Early Classic,,Artidactyla,1st phalanx,L,complete,,fused,"319CQ phalanx1 artidactyl complete listed on tag as artidactyl almost certainly Odocoileus. Pathology, extensive bone remodeling on the ventral-medial facet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.14,13.84,18.66,11.02,,12.21,11.36,,,,,,,,,,,,,,,
Cueva de los Quetzales,EAP0635,CQ1-16-5,3,n/a,308CQ,Early Classic,,Odocoileus virginianus,1st phalanx,L,complete,,fused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76,14.19,18.84,10.49,,12.32,10.82,,,,,,,,,,,,,,,
