materialSampleID,sitename,verbatimEventDate,sex,measurementSide,verbatimLocality,scientificName,measurementValue,minimumChronometricAge,maximumChronometricAge,measurementType,individualID,measurementUnit,observationID
HoV5871,,,female,left,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoV5871,mm,893e7e72-864e-4c33-90e3-7e891b7e5d93
HoY59194,,,unknown,right,new,Hippotherium primigeneium,335,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoY59194,mm,9fe723c5-c47a-4f1e-b24b-f9b6b5c889f8
HoY59195,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line of medial condyle of femur to greater trochanter},HoY59195,mm,d8687db7-8c8f-4913-8f7d-618d4754ca49
HoY5954,,,unknown,right,new,Hippotherium primigeneium,254.5,10.3,NA,{length line trochlea of humerus to caput of humerus},HoY5954,mm,d3aeb469-2241-4a87-93ac-df8e978aab25
HoY5955,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{length line trochlea of humerus to caput of humerus},HoY5955,mm,3b48fb94-4b99-418f-b1b0-0fb1a157144b
DD121,,,unknown,norecord,new,Hippotherium primigeneium,0,10.0,NA,{length line trochlea of humerus to caput of humerus},DD121,mm,893f3446-16bd-42fc-a843-37bba2fe5b8c
DD2920,,,unknown,norecord,new,Hippotherium primigeneium,0,10.0,NA,{length line trochlea of humerus to caput of humerus},DD2920,mm,955218f2-596e-4774-b31f-e754b984c4df
DD4189,,,unknown,norecord,new,Hippotherium primigeneium,0,10.0,NA,{length line trochlea of humerus to caput of humerus},DD4189,mm,a4569695-41ac-4fd2-9ee4-3d993350336e
DDnonumb1,,,unknown,norecord,new,Hippotherium primigeneium,0,10.0,NA,{length line trochlea of humerus to caput of humerus},DDnonumb1,mm,888ad498-d381-45c7-bbba-709a65b7adf7
DDnonumb2,,,unknown,norecord,new,Hippotherium primigeneium,0,10.0,NA,{length line trochlea of humerus to caput of humerus},DDnonumb2,mm,6e1f78b9-136c-4d0c-82dd-a1fac1853d96
PIUW1344/1,,,unknown,left,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/1,mm,17dbf7e6-9044-4839-a4ef-95a9460834e3
PIUW1344/10,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/10,mm,e7a0c80e-099b-44c3-8f2b-47b18692e94a
PIUW1344/11,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/11,mm,ddc2db42-518d-4f2e-97ae-530174b05a66
PIUW1344/12,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/12,mm,b12df51f-12c1-4760-87c0-66715b4512cc
PIUW1344/13,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/13,mm,7177facc-8285-44c7-9d0a-055f1ff11c9f
PIUW1344/14,,,unknown,right,new,Hippotherium brachypus,250.4,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/14,mm,a73a676b-8511-4f77-92ea-18e6effeff19
PIUW1344/15,,,unknown,left,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/15,mm,22f0083a-dacd-4329-8ff8-8fe635dd4e90
PIUW1344/16,,,unknown,left,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/16,mm,4581f9f1-38ea-4e5d-bdc1-d88f85e264e1
PIUW1344/17,,,unknown,left,new,Cremohipparion mediterraneum,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/17,mm,b6ac2101-3a22-4aa5-b3f9-796dd000e556
PIUW1344/18,,,unknown,right,new,Cremohipparion mediterraneum,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/18,mm,4ed4c163-a707-4e8d-b7d9-5525f54c741d
PIUW1344/19,,,unknown,right,new,Cremohipparion mediterraneum,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/19,mm,49275b16-52ad-4d50-adc1-fa44c8bb8a36
PIUW1344/2,,,unknown,left,new,Cremohipparion mediterraneum,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/2,mm,bdf0c1cb-aea7-49f4-9b33-bc8b8f073e34
PIUW1344/20,,,unknown,right,new,Cremohipparion mediterraneum,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/20,mm,94149722-bcc1-4f9b-be5c-b8d07027dd74
PIUW1344/21,,,unknown,right,new,Cremohipparion mediterraneum,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/21,mm,52614032-89fc-4e7e-9e57-e4fac7599f25
PIUW1344/3,,,unknown,left,new,"Hipparion" sp.,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/3,mm,4fcdbb0a-c280-4c17-9215-21c1e48a0622
PIUW1344/4,,,unknown,left,new,"Hipparion" sp.,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/4,mm,2a86776c-5cc4-498a-a698-6473811ff6e8
PIUW1344/5,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/5,mm,51c9d79a-b039-469d-a17a-c4e004f5f2a6
PIUW1344/6,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/6,mm,69e46df8-1f40-410f-ad7b-19bd3667f073
PIUW1344/7,,,unknown,left,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/7,mm,bb14c43c-aad0-43eb-ac5f-f7aa83ea4cdf
PIUW1344/8,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/8,mm,93c63d16-bc9a-4f64-b314-cb691b4a0a51
PIUW1344/9,,,unknown,right,new,Hippotherium brachypus,NA,8.0,NA,{length line trochlea of humerus to caput of humerus},PIUW1344/9,mm,23a50e7e-e296-42fe-b500-c5afadf93c1f
MAFIV,,,unknown,norecord,new,Hippotherium intrans,0,10.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIV,mm,5536ecee-be5b-4afe-b8fc-4c6322efb1b8
MAFIV,,,unknown,norecord,new,Hippotherium intrans,0,10.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIV,mm,eff5252d-5f17-4fe1-8c1e-a8cd5bff8e12
MAFIV,,,unknown,norecord,new,Hippotherium intrans,0,10.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIV,mm,c8f377b0-5d26-48dc-8a42-601c8762e0d8
MAFIV,,,unknown,norecord,new,Hippotherium intrans,0,10.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIV,mm,26c31099-13a2-4c25-8755-6c3d334894cf
MAFIV11853,,,unknown,norecord,new,Hippotherium intrans,0,10.0,NA,{length line trochlea of humerus to caput of humerus},MAFIV11853,mm,215cf810-18fd-40d9-afa2-ff56aa9a6889
MAFIV11871,,,unknown,norecord,new,Hippotherium intrans,0,10.0,NA,{length line trochlea of humerus to caput of humerus},MAFIV11871,mm,2e67f3a5-256e-447a-af4b-c0bde249037c
MAFIV11256A,,,unknown,left,new,Hippotherium csakvarense,NA,9.0,NA,{length line trochlea of humerus to caput of humerus},MAFIV11256A,mm,f1770a7c-a592-4add-b3f0-8cf93dc50e0e
MAFIV11256B,,,unknown,right,new,Hippotherium csakvarense,NA,9.0,NA,{length line trochlea of humerus to caput of humerus},MAFIV11256B,mm,4aa6b91a-4f89-4149-8686-cc53a71150cb
MAFIV11256C,,,unknown,left,new,Hippotherium csakvarense,NA,9.0,NA,{length line trochlea of humerus to caput of humerus},MAFIV11256C,mm,2af9f1b0-4aa7-49e3-afe8-17fa2e437d74
MAFIV11256D,,,unknown,left,new,Hippotherium csakvarense,NA,9.0,NA,{length line trochlea of humerus to caput of humerus},MAFIV11256D,mm,f0da1e88-5b58-4114-9a98-60ab76839cf5
MAFIBalt153,,,unknown,left,new,Hippotherium microdon,NA,7.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIBalt153,mm,bf771c02-7c8d-4c43-8e6e-3af96dea2f50
MAFIBalt219,,,unknown,right,new,Hippotherium microdon,NA,7.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIBalt219,mm,320b4686-8df2-43f4-942b-1b3c7baf3814
MAFIBalt396,,,unknown,left,new,Hippotherium microdon,NA,7.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIBalt396,mm,d5c3976e-7c57-40c5-93a8-dddcfbfed770
MAFIBalt742L,,,unknown,right,new,Hippotherium microdon,NA,7.0,NA,{length line trochlea of humerus to caput of humerus},MAFIBalt742L,mm,9fe211ba-539f-4f5d-8de7-4de4a9015972
MAFIOB3211,,,unknown,right,new,Hippotherium microdon,NA,7.0,NA,{length line of medial condyle of femur to greater trochanter},MAFIOB3211,mm,bd2a3ef0-4d30-4f4b-afdf-788b3dae5190
NHBJH153,,,unknown,left,new,Hippotherium malpassii,NA,6.7,NA,{length line trochlea of humerus to caput of humerus},NHBJH153,mm,92cac7cb-297e-4254-a8b5-aebd8e281991
KNM-LT25478A,,,unknown,left,new,Sivalhippus turkanensis,398,6.5,NA,{length line of medial condyle of femur to greater trochanter},KNM-LT25478A,mm,18f58d40-b468-422e-9216-e003e8d059d0
KNM-LT8736,,,unknown,right,new,Sivalhippus turkanensis,NA,7.0,NA,{length line of medial condyle of femur to greater trochanter},KNM-LT8736,mm,f724feec-b84b-48e8-b0ac-2cb9061899e2
RMNH067/1644,,,unknown,norecord,new,Equid,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH067/1644,mm,24d450c8-7fb3-46d9-967b-42ad27823c7e
RMNH067/843,,,unknown,norecord,new,Equid,374,?,NA,{length line of medial condyle of femur to greater trochanter},RMNH067/843,mm,e0cd5426-e666-47ed-bb1c-7eaccc934ccb
RMNH1,,,unknown,norecord,new,Equid,NA,?,NA,{length line of medial condyle of femur to greater trochanter},RMNH1,mm,b0c2111c-ca7f-4f00-be98-2107a9986906
RMNH1182,,,unknown,norecord,new,Eurygnathohippus sp.,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH1182,mm,1595f91c-43d5-4f61-b0e7-6cbfb4fd6cd0
RMNH1352,,,unknown,norecord,new,Eurygnathohippus sp.,360,?,NA,{length line of medial condyle of femur to greater trochanter},RMNH1352,mm,cc859021-21fa-4ca2-b2b6-682e90125f8e
RMNH1384,,,unknown,norecord,new,Equid,NA,?,NA,{length line of medial condyle of femur to greater trochanter},RMNH1384,mm,5b82a2e4-a0c4-4c98-9e8c-9cdf726404c3
RMNH1386,,,unknown,norecord,new,Equid,NA,?,NA,{length line of medial condyle of femur to greater trochanter},RMNH1386,mm,bd970018-5c0b-4819-92ab-be07dab8bb07
RMNH187,,,unknown,norecord,new,Equid,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH187,mm,deedf0eb-582e-410c-ae47-c24d08bf91d1
RMNH264,,,unknown,norecord,new,Equid,NA,?,NA,{length line of medial condyle of femur to greater trochanter},RMNH264,mm,fb124e4f-2f5b-4c69-ba70-c897afe8553f
RMNH268,,,unknown,norecord,new,Equid,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH268,mm,e7cf01d3-408c-43bc-b319-599bc55b823e
RMNH2685,,,unknown,norecord,new,Equid,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH2685,mm,eca424bb-4f64-486b-a133-ad0b2efdcd07
RMNH280,,,unknown,norecord,new,Equid,229.92,?,NA,{length line trochlea of humerus to caput of humerus},RMNH280,mm,773e18af-4c92-4ca6-b51b-f75ef8a2da6c
RMNH284,,,unknown,norecord,new,Equid,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH284,mm,f3d0c3c4-452c-4f57-a8ec-42497d1fac21
RMNH305,,,unknown,norecord,new,Equid,NA,?,NA,{length line trochlea of humerus to caput of humerus},RMNH305,mm,f94717bb-d23a-4145-8b16-5b264e9a13b6
RMNHNo number,,,unknown,norecord,new,Equid,NA,?,NA,{length line of medial condyle of femur to greater trochanter},RMNHNo number,mm,3dd1cd3b-05ca-469a-968a-24186f1fb092
SAMPQL13202,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL13202,mm,1414f629-2338-4b2d-9eee-deda9c2ad895
SAMPQL13870,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL13870,mm,9a5c78b1-7670-4a6d-8f8a-45934e692688
SAMPQL20178,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL20178,mm,4f1148ae-2f5b-4af4-8ebd-7dbc3da4513b
SAMPQL20541,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,338,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL20541,mm,bc374a3e-3ce9-450c-be5b-c018b9b2c835
SAMPQL20541,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,231.2,5.00,NA,{length line trochlea of humerus to caput of humerus},SAMPQL20541,mm,4a3bd865-adb9-48a6-8253-a26f9752e3cf
SAMPQL20553,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL20553,mm,ab3187ef-202f-4c7e-a875-ff5b81758e92
SAMPQL20846,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL20846,mm,5990b701-0ffb-4785-beb2-c4c8b13094ff
SAMPQL20847,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL20847,mm,7f778e8a-6bd2-4f12-b39b-c40502e10851
SAMPQL21295C,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,319,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL21295C,mm,679f6ce5-c966-45d4-954d-0475f1994009
SAMPQL3410,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL3410,mm,a2dc16d7-d679-49cb-81a7-3a25ca80cbd3
SAMPQL3412,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL3412,mm,615dea8e-2fec-4e8e-b444-ffb9bb2e81ae
SAMPQL42731,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL42731,mm,8cd3f27f-1854-402d-a149-f6cc2afa6c75
SAMPQL5845,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL5845,mm,92b74e6c-b2ec-4998-abdc-177e6ba7d8af
SAMPQL9653,E Quarry,,unknown,left,new,Eurygnathohippus hooijeri,NA,5.00,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL9653,mm,90c32324-129b-4108-bb32-2edd6d13e9a0
SAMPQL9973,E Quarry,,unknown,right,new,Eurygnathohippus hooijeri,NA,5.0,NA,{length line of medial condyle of femur to greater trochanter},SAMPQL9973,mm,cc4fe3f3-0695-4e26-b842-5e125ec202c7
AS90/220,,,unknown,right,new,"Hipparion" sp.,0,10.8,9.0,{length line trochlea of humerus to caput of humerus},AS90/220,mm,0090e379-12db-4181-82b8-8088d381cabe
AS92/242,,,unknown,left,new,"Hipparion" sp.,0,10.8,9.0,{length line trochlea of humerus to caput of humerus},AS92/242,mm,eeb4dc03-7d1d-4f28-b17a-8033f53afbc3
AS93/842,,,unknown,left,new,"Hipparion" sp.,0,10.8,9.0,{length line trochlea of humerus to caput of humerus},AS93/842,mm,4ee9c3c6-39e5-4c5a-8741-f657ad0a3b1d
MNHNRLB02,,,unknown,right,new,"Hipparion" sp.,0,9.9,NA,{length line trochlea of humerus to caput of humerus},MNHNRLB02,mm,dc246814-15f9-43c3-9234-5abe0fba1e32
MNHNRLB03,,,unknown,left,new,"Hipparion" sp.,0,9.9,NA,{length line trochlea of humerus to caput of humerus},MNHNRLB03,mm,40c5d027-b841-4527-8c6a-6f810d7ec11a
Ho21854,,,unknown,norecord,new,Hippotherium primigeneium,19.7,10.3,NA,{metacaral proximal breadth},Ho21854,mm,fc679f46-ec5b-4f11-94ae-d8fe4ad6fbf2
HoA54,,,male,left,new,Hippotherium primigeneium,18.5,10.3,NA,{metacaral proximal breadth},HoA54,mm,2cdf0434-8157-4304-ad86-b1d28d2f865a
HoA54,,,male,left,new,Hippotherium primigeneium,19.4,10.3,NA,{metacaral proximal breadth},HoA54,mm,00f8fb69-1d68-4e8e-b326-2b2d839b0eab
HoB39,,,male,left,new,Hippotherium primigeneium,19,10.3,NA,{metacaral proximal breadth},HoB39,mm,0f31201f-76b3-4997-af57-145108e01fb1
HoB51,,,male,right,new,Hippotherium primigeneium,19.2,10.3,NA,{metacaral proximal breadth},HoB51,mm,b7438e51-fc95-47f1-8578-8db1bc9b5543
HoB53,,,male,left,new,Hippotherium primigeneium,20.2,10.3,NA,{metacaral proximal breadth},HoB53,mm,1b0ba9a6-173c-4f71-9d40-4ebbdfc01769
HoB53,,,male,right,new,Hippotherium primigeneium,20.5,10.3,NA,{metacaral proximal breadth},HoB53,mm,0984fdbe-62f2-44d2-8e0d-23532e7c4749
HoC110,,,female,left,new,Hippotherium primigeneium,20.6,10.3,NA,{metacaral proximal breadth},HoC110,mm,eda9fcdc-f1c3-4433-a6e1-4a8d4cfd7895
HoC111,,,female,left,new,Hippotherium primigeneium,17.4,10.3,NA,{metacaral proximal breadth},HoC111,mm,5aa0c538-5466-411f-8390-cb722d807757
HoC127,,,female,right,new,Hippotherium primigeneium,17.4,10.3,NA,{metacaral proximal breadth},HoC127,mm,aca2d806-3778-43e2-91af-cf3af9e1d01a
HoC128,,,female,right,new,Hippotherium primigeneium,19.2,10.3,NA,{metacaral proximal breadth},HoC128,mm,409b994c-35de-49be-982c-fe11502fde0a
HoE26,,,female,left,new,Hippotherium primigeneium,18.3,10.3,NA,{metacaral proximal breadth},HoE26,mm,53ce0e9e-8d8e-4dad-a56b-80de75ed4a92
HoE32,,,female,right,new,Hippotherium primigeneium,18.1,10.3,NA,{metacaral proximal breadth},HoE32,mm,136623e1-b3e9-4e43-961c-0d6c72dfcf38
HoE33,,,female,right,new,Hippotherium primigeneium,18.2,10.3,NA,{metacaral proximal breadth},HoE33,mm,6c6eae16-0d33-432f-bf99-df65614e117c
HoE34,,,female,left,new,Hippotherium primigeneium,18.3,10.3,NA,{metacaral proximal breadth},HoE34,mm,f9a4218a-434f-4f9e-a706-d69f7aff2984
HoG,,,male,left,new,Hippotherium primigeneium,20.5,10.3,NA,{metacaral proximal breadth},HoG,mm,fd40f55b-de8c-4066-b576-dbef90cf573a
HoG,,,male,right,new,Hippotherium primigeneium,0,10.3,NA,{metacaral proximal breadth},HoG,mm,51ff42dd-760e-4a1c-bde4-ba633eb58bb6
HoG,,,male,left,new,Hippotherium primigeneium,19.5,10.3,NA,{metacaral proximal breadth},HoG,mm,e1219bd2-8f57-45f9-a6e7-698c70f5f99d
HoG,,,male,right,new,Hippotherium primigeneium,19.9,10.3,NA,{metacaral proximal breadth},HoG,mm,ae453d1d-f4d2-438b-a253-1853cd5e0b93
HoI53,,,female,left,new,Hippotherium primigeneium,17.5,10.3,NA,{metacaral proximal breadth},HoI53,mm,f7be91c6-93f1-4674-a70d-bdde10ab00b4
HoI53,,,female,right,new,Hippotherium primigeneium,17.9,10.3,NA,{metacaral proximal breadth},HoI53,mm,815318aa-aa29-4030-b909-a6d131448c2b
HoI53,,,female,left,new,Hippotherium primigeneium,19.8,10.3,NA,{metacaral proximal breadth},HoI53,mm,7b3597c2-c7d3-41fa-968b-98e567a2125f
HoI53,,,unknown,right,new,Hippotherium primigeneium,19.6,10.3,NA,{metacaral proximal breadth},HoI53,mm,1d188cb2-4289-4d17-a644-3e5bb887bb3b
HoII53,,,unknown,left,new,Hippotherium primigeneium,0,10.3,NA,{metacaral proximal breadth},HoII53,mm,96339a71-db00-4075-83e8-4263f81df8c9
HoII53,,,unknown,right,new,Hippotherium primigeneium,0,10.3,NA,{metacaral proximal breadth},HoII53,mm,3e6c978a-28cd-48c5-b868-9cf7d11f4085
HoII53,,,unknown,left,new,Hippotherium primigeneium,19,10.3,NA,{metacaral proximal breadth},HoII53,mm,b40dd532-9ea8-4af5-8d1f-0012f698c7e7
HoII53,,,unknown,right,new,Hippotherium primigeneium,19,10.3,NA,{metacaral proximal breadth},HoII53,mm,4416b4f3-661f-4f1d-84e7-e3b59d75bf91
