,references,scientificName,catalogNumber,collectionCode,organismID,sex,ageUnit,ageValue,lifeStage,country,stateProvince,locality,verbatimLocality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,maximumElevationInMeters,verbatimEventDate,materialSampleID,samplingProtocol,measurementMethod,reproductiveCondition,eventRemarks,measurementAccuracy,measurementDeterminedBy,trait,measurement
10,--,Odocoileus virginianus,Z4572,SCWDS 85-51,--,F,years,2.5,--,USA,Florida,Big Cypress,"Big Cypress, Bear Island, East Hinson Marsh",26.1731427,-81.2597968,--,--,--,"Collection Date, March 5, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","""not preg, quiet ovaries, lactating, lots of milk, enlarged glands""",--,unknown,collector/EAP staff,body mass,36320
11,--,Odocoileus virginianus,Z4573,SCWDS 85-52,--,F,years,5,--,USA,Florida,Big Cypress,"Big Cypress, Bear Island E 1/2 mile - S.E. Hinsons Marsh",26.1731427,-81.2597968,--,--,--,"Collection Date, March 5, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","""non pregnant"" lactating",--,unknown,collector/EAP staff,body mass,46308
12,UF Mammalogy,Odocoileus virginianus,Z4574,SCWDS 85-53,--,F,years,2.5-3,,USA,Florida,Big Cypress,"Big Cypress, Bear Island, 1 1/2 m SE of E. Hinsons Marsh",26.1731427,-81.2597968,--,--,--,"Collection Date, March 5, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","""not pregnant"" lactating",--,unknown,collector/EAP staff,body mass,44038
13,UF Mammalogy,Odocoileus virginianus,Z4576,SCWDS 85-55,--,F,years,2,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Pt, between ?? and Watermelon",25.989444,-80.9125,--,--,--,"Collection Date, March 6, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","""non pregnant"" lactating",--,unknown,collector/EAP staff,body mass,32688.000000000004
14,UF Mammalogy,Odocoileus virginianus,Z4577,SCWDS 85-56,--,M,years,1,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Pt, R.P. Levee 1/4 m SE of Tie Back End",25.989444,-80.9125,--,--,--,"Collection Date, March 6, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",--,--,unknown,collector/EAP staff,body mass,27687.9
15,--,Odocoileus virginianus,Z4578,SCWDS 85-57,--,M,years,2,--,USA,Florida,Big Cypress,"Big Cypress, R.P. [prob Raccoon Point] Levee Tie Back End",25.989444,-80.9125,--,--,--,"Collection Date, March 7, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",,"[oddly, despite saying male and having testicle info, this says it has 1 male fetus 1 yr??]",unknown,collector/EAP staff,body mass,30844.12
16,--,Odocoileus virginianus,Z4579,SCWDS 85-58,--,M,years,1.5,--,USA,Florida,Big Cypress,"Big Cypress, Harold Sign Rd, 1/2 M north of the ?? sign",25.858889,-81.033889,--,--,--,"Collection Date, March 7, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",--,--,unknown,collector/EAP staff,body mass,33142
17,--,Odocoileus virginianus,Z4580,SCWDS 85-59,--,F,years,4,--,USA,Florida,Big Cypress,"Big Cypress, R.P. [prob Raccoon Point] Rock Road East",25.989444,-80.9125,--,--,--,"Collection Date, March 7, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","non pregnant, not lactating but glands present, note says 2 yearlings nearby",--,unknown,collector/EAP staff,body mass,38590
18,--,Odocoileus virginianus,Z4581,SCWDS 85-60,--,F,years,2,--,USA,Florida,Big Cypress,"Big Cypress, R.P. Watermelon, 1/2 way between Hougtons and Watermellon (burn area)",25.989444,-80.9125,--,--,--,"Collection Date, March 7, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","pregnant, 1 fetus female 23 weeks (#85-61)",--,unknown,collector/EAP staff,body mass,32688.000000000004
19,--,Odocoileus virginianus,Z4700,SCWDS 85-62,--,F,years,2.25,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Point, Lost Dog Prairie, Poppen Logus?",25.9803717,-81.0314583,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","non pregnant, not lactating, medium nipples",--,unknown,collector/EAP staff,body mass,29510
20,UF Mammalogy,Odocoileus virginianus,Z4701,SCWDS 85-63,--,F,years,1.25,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Point, Lost Dog Prairie, Poppen Logus?",25.9803717,-81.0314583,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","non pregnant, not lactating",--,unknown,collector/EAP staff,body mass,25424
21,--,Odocoileus virginianus,Z4702,SCWDS 85-64,--,F,years,2.5,--,USA,Florida,Big Cypress,"Big Cypress, Bear Island, E Hinson Marsh",26.1731427,-81.2597968,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","non pregnant, lactating",--,unknown,collector/EAP staff,body mass,37228
22,--,Odocoileus virginianus,Z4703,SCWDS 85-65,--,F,years,3.5,--,USA,Florida,Big Cypress,"Bear Island, 1/2 mi No of Bear Island Officers Camp",26.232307,-81.2659078,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","not pregnant, maybe lactating",--,unknown,collector/EAP staff,body mass,41768
23,--,Odocoileus virginianus,Z4704,SCWDS 85-66,--,F,years,1.3333333333333333,--,USA,Florida,Big Cypress,"Big Cypress, Bear Island, 1/2 mile N of Officers camp",26.232307,-81.2659078,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","not pregnant, not lactating",--,unknown,collector/EAP staff,body mass,31780
24,--,Odocoileus virginianus,Z4705,SCWDS 85-67,--,F,years,3.5,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Point, 1/2 mile up Levee Rd., from PAD Pipeline Rd?",25.989444,-80.9125,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","not pregnant, lactating, ""fawn at side #85-66"" (although note that 85-66 in this list is 16 months so not suckling fawn, and actually 85-68 lists Dam as 85-67 so that was an error and fawn is 85-68)",--,unknown,collector/EAP staff,body mass,38590
25,--,Odocoileus virginianus,Z4707,SCWDS 85-69,--,F,years,5.5,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Point, 0330 1/2 way between Lassiters and ATC",25.989444,-80.9125,--,--,--,"Collection Date, June 12, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","not pregnant, lactating",--,unknown,collector/EAP staff,body mass,36320
26,UF Mammalogy,Odocoileus virginianus,Z4708,SCWDS 85-70,--,F,years,1,--,USA,Florida,Big Cypress,"Big Cypress, Raccoon Point, Lassiters",25.989444,-80.9125,--,--,--,"Collection Date, June 12, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","non pregnant, non lactating",--,unknown,collector/EAP staff,body mass,21792
27,--,Odocoileus virginianus,Z4709,SCWDS WTD-71 [prob 85-71],--,F,years,2,--,USA,Florida,Big Cypress,"Big Cypress, Bear Island, 1/2 mi N. Bear Island Grade, 1 mi W of W campground",26.216667,-81.316667,--,--,--,"Collection Date, June 11, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.","non pregnant, lactating, had ~6-7mo fawn at side",--,unknown,collector/EAP staff,body mass,37228
28,--,Odocoileus virginianus,Z4710,SCWDS 85-72,--,M,years,1,--,USA,Florida,Big Cypress,"Big Cypress, Bear Island,  (Domfino? - near campground, E of main campground)",26.232307,-81.2659078,--,--,--,"Collection Date, June 12, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",--,[no note of antlers],unknown,collector/EAP staff,body mass,34504
29,--,Odocoileus virginianus,Z4711,SCWDS 85-73,--,M,years,1.3333333333333333,--,USA,Florida,Big Cypress,"Bear Island, 2 mi NE of Bear Island Camp",26.232307,-81.2659078,--,--,--,"Collection Date, June 12, 1985",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",--,[no note of antlers],unknown,collector/EAP staff,body mass,39952
30,UF Mammalogy,Odocoileus virginianus,--,--,--,F,years,--,adult,USA,Florida,Lake City,Lake City,30.183333,82.633333,--,--,--,"Collection Date, December 4, 1975",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",lactating [assume non pregnant],--,unknown,collector/EAP staff,body mass,44452
31,--,Odocoileus virginianus,Z2328,--,--,--,years,1.6,--,USA,Florida,Gad's Bay,Gad's Bay,27.31666667,-82.78333333,--,--,--,"Collection Date, December 1977",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",--,--,unknown,collector/EAP staff,full body length,--
32,--,Odocoileus virginianus,Z2773,--,--,F,years,1.5,--,USA,Florida,Camp Blanding,Camp Blanding game area,29.9519,-81.9799,--,--,--,"Collection Date, November 10, 1979",--,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin weight, weight of discarded viscera, total bone weight [including marrow] and useable [aka ""edible"" meat/fat] weight. Useable weight is a derivation. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members. Carcass measurements presumably done on collection date, body portion weights at cataloging date.",--,--,unknown,collector/EAP staff,full body length,--
