,individualID,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datum,pointElevationInMeters,trait,measurement
59,MVZ 138961,39.1488,-121.568,0.7559999999999999,NAD27,,ear length,29
60,MVZ 138965,39.932404999999996,-121.059853,1.609,NAD27,,ear length,
61,MVZ 1406,33.9150671,-116.78444099999999,0.6096,NAD27,,ear length,
62,MVZ 1407,33.9150671,-116.78444099999999,0.6096,NAD27,548.64,ear length,
63,MVZ 1409,33.9150671,-116.78444099999999,0.6096,NAD27,518.1600000000001,ear length,
64,MVZ 1412,33.9150671,-116.78444099999999,0.6096,NAD27,518.1600000000001,ear length,
65,MVZ 1417,33.933586299999995,-116.881026,1.609,NAD27,670.5600000000001,ear length,
66,MVZ 149698,36.3785176,-121.556821,2.5,WGS84,487.68,ear length,25
67,MVZ 15138,35.8384477,-118.450732,2.8160000000000003,NAD27,853.44,ear length,
68,MVZ 15139,35.6692,-118.0371,1.0,NAD27,1402.0800000000002,ear length,
69,MVZ 15145,35.69,-118.2981,1.0,NAD27,1249.68,ear length,
70,MVZ 15146,35.830658,-118.29175,0.03,NAD27,2133.6,ear length,
71,MVZ 15147,35.830658,-118.29175,0.03,NAD27,2133.6,ear length,
72,MVZ 15149,35.830658,-118.29175,0.03,NAD27,2133.6,ear length,
73,MVZ 15155,36.477786,-118.142063,0.03,NAD27,3048.0,ear length,
74,MVZ 152136,39.3213902,-120.84537399999999,0.13518,NAD27,,ear length,24
75,MVZ 1560,33.925,-116.63799999999999,1.0,NAD27,344.42400000000004,ear length,
76,MVZ 159815,39.3213902,-120.84537399999999,0.13518,NAD27,1310.64,ear length,29
77,MVZ 159816,39.3213902,-120.84537399999999,0.13518,NAD27,1310.64,ear length,25
78,MVZ 160572,38.052271000000005,-121.00416000000001,0.193,NAD27,38.1,ear length,31
79,MVZ 1760,33.8042231,-116.659361,1.3716,NAD27,2743.2000000000003,ear length,
80,MVZ 17755,36.5782,-118.1069,1.0,NAD27,1371.6000000000001,ear length,
81,MVZ 17756,36.813217,-118.31913899999999,0.03,NAD27,2286.0,ear length,
82,MVZ 17831,40.0451166,-122.095649,3.2489999999999997,NAD27,79.248,ear length,
83,MVZ 17832,40.0451166,-122.095649,3.2489999999999997,NAD27,79.248,ear length,
84,MVZ 17833,40.0451166,-122.095649,3.2489999999999997,NAD27,79.248,ear length,
85,MVZ 17834,40.0451166,-122.095649,3.2489999999999997,NAD27,79.248,ear length,
86,MVZ 17835,39.58918,-122.54393999999999,7.01996,NAD27,213.36,ear length,22
87,MVZ 17836,39.58918,-122.54393999999999,7.01996,NAD27,213.36,ear length,21
88,MVZ 17838,39.58918,-122.54393999999999,7.01996,NAD27,213.36,ear length,22
89,MVZ 17839,38.8863534,-122.24026200000002,0.624,NAD27,152.4,ear length,25
90,MVZ 17840,38.357561600000004,-122.04165800000001,7.541,NAD27,213.36,ear length,23
91,MVZ 17841,38.357561600000004,-122.04165800000001,7.541,NAD27,213.36,ear length,17
92,MVZ 17845,39.6079291,-121.670523,0.04345,NAD27,60.96,ear length,24.5
93,MVZ 17847,37.8785684,-122.08665500000001,6.252000000000001,NAD27,60.96,ear length,26
94,MVZ 17848,37.8816953,-121.91304199999999,1.662,NAD27,533.4,ear length,26
95,MVZ 17849,37.8816953,-121.91304199999999,1.662,NAD27,533.4,ear length,25
96,MVZ 183731,37.8978545,-122.310427,2.56,NAD27,68.58,ear length,34
97,MVZ 183732,37.8978545,-122.310427,2.56,NAD27,68.58,ear length,60
98,MVZ 18661,39.2570834,-120.71243799999999,0.455,NAD27,1463.04,ear length,
99,MVZ 19204,37.875069,-122.245186,0.402,NAD27,,ear length,21
100,MVZ 201344,37.75139,-119.79149,0.33,WGS84,1923.5928000000001,ear length,
101,MVZ 201345,37.75139,-119.79149,0.33,WGS84,1923.5928000000001,ear length,
102,MVZ 20328,39.5155,-123.15104,4.645,NAD27,1371.6000000000001,ear length,
103,MVZ 207146,37.6248,-120.56688,0.10142000000000001,WGS84,70.104,ear length,
104,MVZ 207147,37.6248,-120.56688,0.10142000000000001,WGS84,70.104,ear length,
105,MVZ 207148,37.6248,-120.56688,0.10142000000000001,WGS84,70.104,ear length,
106,MVZ 207149,37.6248,-120.56688,0.10142000000000001,WGS84,70.104,ear length,
107,MVZ 207152,37.6248,-120.56688,0.10142000000000001,WGS84,70.104,ear length,
108,MVZ 207153,37.6248,-120.56688,0.251419,WGS84,70.104,ear length,
109,MVZ 207154,37.75606,-120.08596000000001,0.251419,WGS84,897.9408000000001,ear length,
110,MVZ 207155,37.75606,-120.08596000000001,0.251419,WGS84,897.9408000000001,ear length,
111,MVZ 207156,37.84486,-119.58945,0.1,WGS84,2587.752,ear length,
112,MVZ 207161,37.7409,-119.40803999999999,0.15142,WGS84,2204.9232,ear length,
113,MVZ 207162,37.74069,-119.41023,0.10142000000000001,WGS84,2199.4368,ear length,
114,MVZ 207163,37.74069,-119.41025,0.10142000000000001,WGS84,2199.4368,ear length,
115,MVZ 207164,37.74051,-119.41345,0.10142000000000001,WGS84,2199.4368,ear length,
116,MVZ 207166,37.75456,-119.74298,0.20142000000000002,WGS84,2012.8992,ear length,
117,MVZ 207167,37.75456,-119.74298,0.20142000000000002,WGS84,2012.8992,ear length,
118,MVZ 208499,37.90028,-119.12977,0.0,WGS84,2214.3720000000003,ear length,
119,MVZ 2154,33.7633397,-116.664705,1.3716,NAD27,2438.4,ear length,
120,MVZ 2155,33.7633397,-116.664705,1.3716,NAD27,2438.4,ear length,
121,MVZ 216227,37.90028,-119.12977,0.0,WGS84,2214.3720000000003,ear length,
122,MVZ 216228,37.75139,-119.79149,0.33,WGS84,1923.5928000000001,ear length,
123,MVZ 216230,37.74899,-119.83861999999999,0.213,WGS84,508.4064,ear length,
124,MVZ 216231,37.74899,-119.83861999999999,0.213,WGS84,508.4064,ear length,
125,MVZ 21851,37.674352,-119.781173,0.6096,NAD27,609.6,ear length,20
126,MVZ 21852,37.674352,-119.781173,0.6096,NAD27,609.6,ear length,18
127,MVZ 21853,37.746327,-119.77586299999999,9.656,NAD27,1463.04,ear length,26
128,MVZ 21854,37.52078,-120.43822,0.402,NAD27,60.96,ear length,26
129,MVZ 2217,33.612232299999995,-116.630609,1.609,NAD27,2072.6400000000003,ear length,
130,MVZ 22657,37.652399,-119.70271699999999,0.03,NAD27,1889.76,ear length,20
131,MVZ 22658,37.756856,-119.799191,1.219,NAD27,1920.24,ear length,25
132,MVZ 22659,37.748057,-119.83516000000002,0.366,NAD27,1645.92,ear length,25
133,MVZ 22660,37.756431,-119.582057,4.184,NAD27,2164.08,ear length,29
134,MVZ 22661,37.67666,-119.580087,1.609,NAD27,2225.04,ear length,25
135,MVZ 22958,37.659263,-120.28745,1.158,NAD27,182.88,ear length,24
136,MVZ 22959,37.74276,-120.15718000000001,3.347,NAD83,975.36,ear length,29
137,MVZ 22960,37.736686,-119.59821200000002,6.437,NAD27,1219.2,ear length,23
138,MVZ 22961,37.74276,-120.15718000000001,3.347,NAD83,975.36,ear length,25
139,MVZ 23272,37.739477,-119.397231,1.0668,NAD27,2286.0,ear length,21
140,MVZ 23274,37.835881,-119.77732900000001,0.402,NAD27,1950.72,ear length,
141,MVZ 2688,34.009370000000004,-117.2591,4.313,NAD27,,ear length,
142,MVZ 2706,33.7912634,-116.67606200000002,1.609,NAD27,1493.52,ear length,
143,MVZ 27501,36.571878000000005,-118.055553,0.03,NAD27,,ear length,18
144,MVZ 27503,36.826074,-118.214801,0.03,NAD27,1188.72,ear length,
145,MVZ 27509,36.573161,-117.479799,1.609,NAD27,1920.24,ear length,19
146,MVZ 27510,36.573161,-117.479799,1.609,NAD27,1920.24,ear length,20
147,MVZ 27511,36.573161,-117.479799,1.609,NAD27,1920.24,ear length,14
148,MVZ 27512,36.826074,-118.214801,0.03,NAD27,1188.72,ear length,
149,MVZ 27514,36.58766,-117.465934,1.609,NAD27,1981.2,ear length,18
150,MVZ 27515,36.58766,-117.465934,1.609,NAD27,1889.76,ear length,19
151,MVZ 27872,37.872653799999995,-122.24106,0.80467,NAD27,,ear length,19
152,MVZ 27929,37.8737229,-122.253169,0.152,NAD27,,ear length,19
153,MVZ 27959,39.575337899999994,-120.34680300000001,0.1561,NAD27,1524.0,ear length,
154,MVZ 28023,37.93022929999999,-122.019673,7.1599699999999995,NAD27,91.44,ear length,19
155,MVZ 28024,37.93022929999999,-122.019673,7.1599699999999995,NAD27,91.44,ear length,22
156,MVZ 28025,37.93022929999999,-122.019673,7.1599699999999995,NAD27,91.44,ear length,22
157,MVZ 28658,35.9478,-117.9011,1.0,NAD27,944.88,ear length,
158,MVZ 28663,35.905054,-119.278572,0.402,NAD27,,ear length,25
159,MVZ 28665,36.7388,-119.9531,4.828,NAD27,,ear length,
160,MVZ 29145,36.133317,-120.74753899999999,3.219,NAD27,449.58000000000004,ear length,19
161,MVZ 29374,36.620269,-121.82224599999999,0.16089,NAD27,,ear length,
162,MVZ 29375,36.60922,-121.83560700000001,0.80467,NAD27,,ear length,19
163,MVZ 29898,41.73066,-122.64055,7.809,NAD27,,ear length,18
164,MVZ 29915,39.7662652,-121.78823899999999,7.093999999999999,NAD27,,ear length,20
165,MVZ 29916,39.606455600000004,-121.67523500000001,9.611,NAD27,,ear length,21
166,MVZ 29917,39.4679347,-121.64929199999999,0.0933,NAD27,,ear length,20
167,MVZ 31304,33.8283609,-116.533406,1.0668,NAD27,,ear length,
168,MVZ 3148,32.64,-116.78,1.0,NAD27,,ear length,20
169,MVZ 3157,32.715,-117.156,1.0,NAD27,,ear length,
170,MVZ 3158,32.7,-117.24600000000001,1.0,NAD27,,ear length,
171,MVZ 3172,33.07,-116.6,1.0,NAD27,,ear length,
172,MVZ 32380,38.828696,-119.78573700000001,0.80467,NAD27,1554.48,ear length,19
173,MVZ 3441,36.59962,-121.897474,1.609,NAD27,,ear length,
174,MVZ 34504,40.190526899999995,-122.236143,3.647,NAD27,91.44,ear length,
175,MVZ 34505,40.190526899999995,-122.236143,3.647,NAD27,91.44,ear length,
176,MVZ 34506,40.315262700000005,-122.069149,0.425,NAD27,182.88,ear length,21
177,MVZ 34507,40.315262700000005,-122.069149,0.425,NAD27,182.88,ear length,21
178,MVZ 34508,40.315262700000005,-122.069149,0.425,NAD27,182.88,ear length,18
179,MVZ 34509,40.315262700000005,-122.069149,0.425,NAD27,182.88,ear length,18
180,MVZ 34510,40.315262700000005,-122.069149,0.425,NAD27,182.88,ear length,18
181,MVZ 34511,40.315262700000005,-122.069149,0.425,NAD27,182.88,ear length,18
182,MVZ 36612,40.394887,-123.015054,1.109,NAD27,1341.1200000000001,ear length,25
183,MVZ 3939,34.441,-119.26,1.0,NAD27,,ear length,
184,MVZ 3941,34.2780872,-119.27753899999999,2.414,NAD27,,ear length,
185,MVZ 4096,37.435739,-122.131845,6.437,NAD27,,ear length,
186,MVZ 44243,40.6096034,-123.55740800000001,5.646,NAD27,1676.4,ear length,17
187,MVZ 5034,37.724039000000005,-122.45598700000001,0.80467,NAD27,,ear length,
188,MVZ 51418,35.1939609,-119.29954,1.609,NAD27,88.39200000000001,ear length,26
189,MVZ 51419,35.1939609,-119.29954,1.609,NAD27,88.39200000000001,ear length,27
190,MVZ 55033,36.7055,-119.0741,1.207,NAD27,883.9200000000001,ear length,27
191,MVZ 56873,40.416340000000005,-123.43064,2.7710000000000004,NAD27,1127.76,ear length,26
192,MVZ 56874,40.4163424,-123.41168600000002,0.446,NAD27,609.6,ear length,25
193,MVZ 58876,40.8748542,-123.731703,4.921,NAD27,1493.52,ear length,18
194,MVZ 59727,40.1656161,-122.80035,0.09495,NAD27,1097.28,ear length,
195,MVZ 59728,40.1656161,-122.80035,0.09495,NAD27,1097.28,ear length,
196,MVZ 59729,40.1656161,-122.80035,0.09495,NAD27,1097.28,ear length,
197,MVZ 59730,40.1656161,-122.80035,0.09495,NAD27,1097.28,ear length,
198,MVZ 59974,35.427710600000005,-118.49432,1.609,NAD27,1188.72,ear length,30
199,MVZ 6380,34.8760033,-118.89392,1.609,NAD27,,ear length,
200,MVZ 64981,36.065444,-117.51506299999998,0.03,NAD27,1744.98,ear length,
201,MVZ 64982,36.065794,-117.522775,0.03,NAD27,1748.028,ear length,
202,MVZ 64983,36.075254,-117.516499,0.03,NAD27,1744.98,ear length,
203,MVZ 65442,41.3814079,-122.374183,4.197,NAD27,1219.2,ear length,26
204,MVZ 65608,36.370134,-121.75093799999999,0.3219,NAD27,1066.8,ear length,29.5
205,MVZ 66427,35.14612,-119.4559,3.3,NAD27,274.32,ear length,
206,MVZ 69099,41.9262514,-124.11233600000001,1.8219999999999998,NAD27,,ear length,27
207,MVZ 69101,41.910649400000004,-122.925881,0.624,NAD27,1828.8000000000002,ear length,25
208,MVZ 69103,41.755840299999996,-122.26858200000001,2.4930000000000003,NAD27,1097.28,ear length,24
209,MVZ 69104,41.445363799999996,-122.45148700000001,4.635,NAD27,883.9200000000001,ear length,26
210,MVZ 69105,41.4716,-122.4662,1.239,not recorded,838.2,ear length,25
211,MVZ 72535,36.5768639,-121.05343,2.01168,NAD27,914.4000000000001,ear length,30
212,MVZ 72536,36.5768639,-121.05343,2.01168,NAD27,914.4000000000001,ear length,29
213,MVZ 72537,36.5768639,-121.05343,2.01168,NAD27,914.4000000000001,ear length,26
214,MVZ 72540,36.4443,-120.6724,1.0,NAD27,579.12,ear length,27
215,MVZ 74393,39.6501448,-121.601151,0.539,NAD27,,ear length,
216,MVZ 74395,39.6474268,-121.61882299999999,1.9875,NAD27,,ear length,
217,MVZ 74396,39.650182,-121.587827,0.539,NAD27,,ear length,
218,MVZ 77047,34.056,-117.182,1.0,NAD27,,ear length,
219,MVZ 84338,33.9329862,-116.929282,1.3716,NAD27,685.8000000000001,ear length,
220,MVZ 85015,33.9622539,-116.929194,1.609,NAD27,868.6800000000001,ear length,
221,MVZ 85016,33.9622539,-116.929194,1.609,NAD27,868.6800000000001,ear length,
222,MVZ 85018,33.9622539,-116.929194,1.609,NAD27,868.6800000000001,ear length,
223,MVZ 85019,33.955290399999996,-116.92919599999999,1.609,NAD27,822.96,ear length,
224,MVZ 85020,33.9402674,-116.90213999999999,1.609,NAD27,792.48,ear length,
225,MVZ 85021,33.9099521,-116.593253,0.785,NAD27,274.32,ear length,
226,MVZ 87972,37.6378422,-121.575969,2.211,NAD27,76.2,ear length,25
227,MVZ 88567,38.2500657,-122.36163300000001,3.9799,NAD27,60.96,ear length,31
228,MVZ 89625,33.9400561,-116.91905200000001,1.0668,NAD27,822.96,ear length,27
229,MVZ 89626,33.893102,-116.791225,0.762,NAD27,518.1600000000001,ear length,
230,MVZ 89627,33.893102,-116.791225,0.762,NAD27,518.1600000000001,ear length,
231,MVZ 90065,33.883,-116.615,1.0,NAD27,365.76,ear length,
232,MVZ 90651,33.9148653,-116.793425,0.3048,NAD27,548.64,ear length,
233,MVZ 95402,40.56728,-124.1438,4.149,NAD27,,ear length,26
234,MVZ 96424,41.1017824,-121.51933700000001,1.839,NAD27,1036.3200000000002,ear length,24
235,MVZ 98962,37.120063,-118.356623,0.03,NAD27,1828.8000000000002,ear length,25
236,MVZ 98963,37.120063,-118.356623,0.03,NAD27,1828.8000000000002,ear length,26
237,MVZ 98964,37.120063,-118.356623,0.03,NAD27,1828.8000000000002,ear length,25
238,MVZ 98965,37.120063,-118.356623,0.03,NAD27,1828.8000000000002,ear length,25
239,MVZ 98966,37.120063,-118.356623,0.03,NAD27,1828.8000000000002,ear length,25
240,MVZ 98968,36.265,-118.0475,1.0,NAD27,1584.96,ear length,
241,MVZ 98969,36.227779999999996,-118.09050400000001,0.03,NAD27,2286.0,ear length,
242,MVZ 98972,36.265,-118.0475,1.0,NAD27,1584.96,ear length,
243,MVZ 99337,36.7875,-118.6604,2.42643,NAD27,1402.0800000000002,ear length,29
244,MVZ 99338,36.7875,-118.6604,2.42643,NAD27,1402.0800000000002,ear length,30
245,MVZ 99529,40.45807,-123.4568,2.93866,NAD27,1524.0,ear length,24
246,MVZ 99530,40.45807,-123.4568,2.93866,NAD27,1524.0,ear length,25
247,MVZ 99895,34.033609999999996,-117.04222,2.81796,NAD27,594.36,ear length,22
248,MVZ 99896,34.0172371,-117.182878,2.414,NAD27,579.12,ear length,
249,MVZ 99897,33.896,-117.054,1.0,NAD27,457.20000000000005,ear length,
250,MVZ 99900,33.965661,-117.006723,2.414,NAD27,731.52,ear length,
251,MVZ 99901,33.965661,-117.006723,2.414,NAD27,731.52,ear length,
252,MVZ 99902,33.965661,-117.006723,2.414,NAD27,731.52,ear length,
253,MVZ 99903,33.9312071,-117.00013999999999,0.804672,NAD27,762.0,ear length,25
254,MVZ 99904,33.9312071,-117.00013999999999,0.804672,NAD27,762.0,ear length,27
255,MVZ 99905,33.9312071,-117.00013999999999,0.804672,NAD27,762.0,ear length,28
256,MVZ 99906,33.929793200000006,-116.80466399999999,1.609,NAD27,624.84,ear length,23
257,MVZ 99907,33.929793200000006,-116.80466399999999,1.609,NAD27,624.84,ear length,24
258,MVZ 99909,33.929793200000006,-116.80466399999999,1.609,NAD27,624.84,ear length,21
259,MVZ 99910,33.9150671,-116.78444099999999,0.6096,NAD27,548.64,ear length,
260,MVZ 99911,33.9150671,-116.78444099999999,0.6096,NAD27,548.64,ear length,
261,MVZ 99912,33.9150671,-116.78444099999999,0.6096,NAD27,548.64,ear length,
262,MVZ 99913,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,22
263,MVZ 99914,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,23
264,MVZ 99915,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,21
265,MVZ 99916,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,21
266,MVZ 99917,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,21
267,MVZ 99918,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,20
268,MVZ 99919,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
269,MVZ 99920,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
270,MVZ 99922,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
271,MVZ 99923,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
272,MVZ 99924,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
273,MVZ 99926,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
274,MVZ 99927,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
275,MVZ 99928,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
276,MVZ 99929,33.911516600000006,-116.79643700000001,0.457,NAD27,548.64,ear length,
277,MVZ 99930,33.9227891,-116.663288,1.3716,NAD27,358.14000000000004,ear length,
278,MVZ 99931,33.9227891,-116.663288,1.3716,NAD27,358.14000000000004,ear length,
279,MVZ 99932,33.9227891,-116.663288,1.3716,NAD27,358.14000000000004,ear length,
280,MVZ 99933,33.9227891,-116.663288,1.3716,NAD27,358.14000000000004,ear length,
281,MVZ 99934,33.9251,-116.6814,1.0,NAD27,365.76,ear length,
282,MVZ 99935,33.9251,-116.6814,1.0,NAD27,365.76,ear length,
283,MVZ 99936,33.9251,-116.6814,1.0,NAD27,365.76,ear length,
284,MVZ 99937,33.9251,-116.6814,1.0,NAD27,365.76,ear length,
285,MVZ 99938,33.9251,-116.6814,1.0,NAD27,365.76,ear length,
286,MVZ 99940,33.8776859,-116.62166100000002,1.609,NAD27,335.28000000000003,ear length,
287,MVZ 99941,33.8776859,-116.62166100000002,1.609,NAD27,335.28000000000003,ear length,
288,MVZ 100739,36.458729999999996,-121.23423000000001,0.16089,NAD27,457.20000000000005,hind foot length,55.0
289,MVZ 100740,35.328303999999996,-119.84525,4.023,NAD27,822.96,hind foot length,50.0
290,MVZ 101240,37.8505216,-122.536923,1.556,NAD27,,hind foot length,55.0
291,MVZ 101332,38.107070799999995,-122.841182,0.65,NAD27,,hind foot length,52.0
292,MVZ 101333,38.1192781,-122.821322,2.1758,NAD27,45.72,hind foot length,55.0
293,MVZ 101334,38.1192781,-122.821322,2.1758,NAD27,45.72,hind foot length,60.0
294,MVZ 101335,38.1192781,-122.821322,2.1758,NAD27,45.72,hind foot length,61.0
295,MVZ 101336,38.1192781,-122.821322,2.1758,NAD27,45.72,hind foot length,45.0
296,MVZ 102298,37.6365633,-121.558508,2.211,NAD27,,hind foot length,52.0
297,MVZ 104957,34.037490000000005,-116.257,0.0354,NAD27,1371.6000000000001,hind foot length,
298,MVZ 105370,38.414077,-119.166325,0.03,NAD27,1828.8000000000002,hind foot length,56.0
299,MVZ 105801,40.65889,-123.21806000000001,0.69616,NAD27,1828.8000000000002,hind foot length,58.0
300,MVZ 105802,40.61736,-123.49373,4.414,NAD27,365.76,hind foot length,59.0
301,MVZ 107351,40.046623,-121.14513500000001,0.06096,NAD27,1173.48,hind foot length,
302,MVZ 108091,36.31007,-121.56788999999999,0.80467,NAD27,1524.0,hind foot length,53.0
303,MVZ 108092,36.2961,-121.5667,1.0,NAD27,1371.6000000000001,hind foot length,55.0
304,MVZ 108095,36.073785,-121.324546,0.80467,NAD27,457.20000000000005,hind foot length,52.0
305,MVZ 108096,36.073785,-121.324546,0.80467,NAD27,457.20000000000005,hind foot length,59.0
306,MVZ 108097,36.073785,-121.324546,0.80467,NAD27,457.20000000000005,hind foot length,59.0
307,MVZ 10994,41.7998952,-120.328223,1.169993,NAD27,1524.0,hind foot length,47.0
308,MVZ 10995,41.7998952,-120.328223,1.169993,NAD27,1524.0,hind foot length,50.0
309,MVZ 10996,41.7998952,-120.328223,1.169993,NAD27,1524.0,hind foot length,56.0
310,MVZ 10997,41.436398100000005,-120.344282,3.4697,NAD27,1676.4,hind foot length,51.0
311,MVZ 10998,41.436398100000005,-120.344282,3.4697,NAD27,1676.4,hind foot length,62.0
312,MVZ 10999,41.436398100000005,-120.344282,3.4697,NAD27,1676.4,hind foot length,55.0
313,MVZ 11000,41.508256700000004,-120.200876,2.144,NAD27,1524.0,hind foot length,50.0
314,MVZ 113078,41.1604001,-124.132365,0.988,NAD27,,hind foot length,65.0
315,MVZ 11399,40.60969,-124.2623,4.545,NAD27,,hind foot length,62.0
316,MVZ 113993,34.0304563,-116.30385700000001,1.609,NAD27,1524.0,hind foot length,
317,MVZ 113994,34.0304563,-116.30385700000001,1.609,NAD27,1524.0,hind foot length,
318,MVZ 11400,40.5216,-124.0327,1.1520000000000001,NAD27,,hind foot length,57.0
319,MVZ 11886,38.9026797,-120.061399,3.0210000000000004,NAD27,,hind foot length,
320,MVZ 119042,37.983072,-120.38110800000001,0.03,NAD27,609.6,hind foot length,54.0
